mag_r,u-g,g-r,r-i,i-z,z_spec
18.832672,1.267431,1.844162,0.698195,0.452318,0.446439
19.74435,2.121128,1.584242,0.79043,0.413061,0.497269
19.159555,1.442785,1.622675,0.765802,0.364254,0.441687
18.780594,1.805532,1.665213,0.725977,0.409838,0.424406
20.169744,1.56889,1.447008,0.736862,0.311476,0.508585
19.648384,2.105965,1.730557,0.794777,0.376778,0.463597
18.039057,2.033087,1.270456,0.529156,0.364546,0.222708
19.346039,1.334316,1.807398,0.607126,0.414415,0.413097
18.050707,2.178373,1.678045,0.568192,0.339502,0.316701
18.996372,1.467363,1.760654,0.584417,0.37191,0.346464
18.742958,1.911808,1.60763,0.632421,0.347656,0.317717
19.333609,2.013926,1.773531,0.658134,0.312435,0.399338
18.38188,1.801676,1.544586,0.595825,0.387146,0.284794
19.327272,1.77886,1.752525,0.627367,0.401564,0.373826
18.388409,2.08486,1.63763,0.577438,0.332241,0.299586
18.791828,1.839314,1.590467,0.585911,0.315573,0.29373
18.002632,1.497095,1.466635,0.540602,0.337282,0.290058
17.519646,1.954483,1.329121,0.456339,0.309246,0.199733
19.478577,1.753403,1.706873,0.70171,0.374269,0.443253
19.219637,1.413107,1.792536,0.651098,0.403915,0.41061
18.596046,1.547287,1.709005,0.601425,0.367334,0.36706
18.771969,1.47776,1.708208,0.616131,0.329811,0.355757
19.461899,1.466236,1.602566,0.799192,0.443741,0.473477
17.336735,2.085331,1.318346,0.512663,0.298532,0.203753
18.139656,1.884098,1.20668,0.459324,0.322699,0.169312
18.758459,1.369251,1.729782,0.636356,0.394903,0.387553
18.646921,1.831833,1.774128,0.650175,0.329922,0.3944
18.211132,1.421127,1.366671,0.618931,0.390131,0.239745
19.285345,2.139931,1.625666,0.699688,0.402403,0.413109
19.594534,1.417461,1.351206,0.722322,0.33794,0.346646
18.481512,1.776058,1.676226,0.614611,0.387611,0.416352
16.941145,2.01281,1.219459,0.466742,0.351633,0.193857
17.936628,1.965357,1.468912,0.584723,0.364214,0.240367
18.316422,1.667372,1.82099,0.6085,0.438766,0.374982
18.672098,1.764028,1.601473,0.587519,0.31921,0.40109
18.905966,1.655577,1.736895,0.580013,0.289276,0.357985
18.769476,1.643841,1.76206,0.699617,0.365585,0.365877
17.32196,1.774462,1.23181,0.466305,0.271837,0.199413
18.930374,1.60528,1.590582,0.637737,0.436586,0.393959
19.289917,1.055235,1.904446,0.680122,0.329014,0.370828
18.40897,1.842266,1.509186,0.548574,0.309246,0.278468
18.732393,1.811134,1.733629,0.550465,0.332479,0.338734
20.380768,2.125052,1.261417,0.711811,0.33847,0.500658
18.802967,1.71561,1.769165,0.583239,0.303453,0.376945
18.574703,1.562595,1.357452,0.478107,0.308279,0.222382
18.955328,2.003103,1.802258,0.611849,0.37957,0.34843
19.139915,1.067514,1.804556,0.603542,0.382565,0.346525
19.375311,2.109953,1.830027,0.661528,0.341791,0.38669
17.515841,2.124413,1.2055,0.497908,0.333557,0.218621
19.230391,1.938293,1.788776,0.576859,0.439491,0.369508
17.780466,1.781061,1.418924,0.547459,0.405111,0.24482
17.480154,1.58672,1.469305,0.528524,0.326759,0.24469
18.90918,1.773302,1.690056,0.602245,0.401306,0.41869
18.675837,1.848284,1.823862,0.64303,0.344454,0.375161
