mag_r,u-g,g-r,r-i,i-z,z_spec
17.600126,1.954155,1.428988,0.535999,0.304796,0.234458
17.595846,1.875505,1.508049,0.570345,0.322405,0.333059
19.119219,1.855049,1.643568,0.65827,0.39797,0.396639
19.569881,1.809111,1.810537,0.722826,0.398951,0.349202
17.049011,1.28219,1.328684,0.529633,0.386106,0.150081
17.674795,2.197083,1.21026,0.477638,0.307436,0.209322
17.485701,2.001808,1.208502,0.447903,0.265841,0.235774
18.151115,1.421062,1.737385,0.591442,0.354826,0.361582
17.898535,1.875795,1.421583,0.498156,0.314003,0.234243
18.868719,1.708084,1.635035,0.617579,0.425405,0.359895
18.783266,2.187624,1.733517,0.630466,0.351856,0.310741
17.9676,2.080044,1.371525,0.515081,0.243204,0.227196
17.52116,1.986208,1.488976,0.592276,0.340134,0.234409
18.347969,1.745855,1.778935,0.599024,0.383921,0.324496
17.600105,2.019978,1.419613,0.529968,0.32728,0.227407
18.485634,1.951532,1.78149,0.56638,0.398024,0.341422
19.466993,2.170565,1.715486,0.696829,0.205374,0.405566
17.604422,1.794197,1.421896,0.53804,0.319603,0.260182
18.497688,1.816616,1.7714,0.614302,0.271143,0.343413
17.800364,2.128195,1.513142,0.534107,0.338243,0.29461
16.992168,1.934986,1.677048,0.574877,0.270626,0.295442
19.187798,1.698214,1.557308,0.701406,0.358484,0.430192
19.411343,1.639595,1.825872,0.604738,0.281315,0.350471
17.68832,1.950279,1.29652,0.45047,0.318451,0.197987
18.472895,2.150192,1.553921,0.537569,0.248142,0.281799
19.884134,1.770061,1.610159,0.782623,0.371664,0.468257
18.35358,1.512327,1.720686,0.594082,0.241735,0.32918
18.489117,2.13574,1.708681,0.612,0.432106,0.337138
18.784054,1.083418,1.729961,0.631849,0.47023,0.445059
17.548393,2.08551,1.399361,0.499548,0.311968,0.227693
19.032412,1.591898,1.857252,0.679161,0.293018,0.389475
16.950527,2.185463,1.25091,0.445589,0.313141,0.194865
16.943087,1.851513,1.400078,0.499109,0.306993,0.20452
18.974632,1.115871,1.741043,0.774929,0.484783,0.458496
18.837219,1.44902,1.676888,0.589697,0.324522,0.375891
19.015434,1.610188,1.691235,0.603203,0.437677,0.36223
19.012995,1.364031,1.810081,0.595913,0.391958,0.403862
18.214531,2.174723,1.571182,0.545891,0.299545,0.275743
17.592815,2.026306,1.411434,0.508705,0.368864,0.237433
19.064342,1.549128,1.649817,0.686327,0.47447,0.431878
17.078615,2.165604,1.338982,0.474758,0.33477,0.204824
18.689589,1.611671,1.677271,0.638481,0.342224,0.343413
17.486076,2.107864,1.735243,0.589611,0.363371,0.338971
